genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Mycoarthris	0	0	0	0	0	0	0	67	0	0
Perenniporia	0	0	0	0	66	0	0	0	0	0
Leptodontidium	0	0	0	0	0	65	0	0	0	0
Brunneochlamydosporium	0	0	0	0	0	0	0	0	64	0
Gliophorus	36	0	0	0	0	0	0	0	28	0
Disciseda	0	64	0	0	0	0	0	0	0	0
Neostagonospora	0	0	0	0	64	0	0	0	0	0
Bradymyces	0	0	0	0	0	64	0	0	0	0
Lachancea	4	14	0	0	0	0	45	0	0	0
Geopora	38	0	0	0	0	0	0	0	25	0
Setomelanomma	0	63	0	0	0	0	0	0	0	0
Arxiella	0	61	0	0	0	0	0	0	0	0
Schizophyllum	0	0	0	0	0	0	0	0	0	59
Kregervanrija	43	0	0	0	0	0	0	0	16	0
Pleurotus	0	0	0	0	0	0	59	0	0	0
Monascus	0	0	0	58	0	0	0	0	0	0
Psathyrella	0	0	0	0	0	0	0	0	57	0
Collariella	0	0	0	0	0	0	0	57	0	0
Trichomonascus	0	0	0	0	0	0	0	0	57	0
Diaporthe	0	0	0	57	0	0	0	0	0	0
Cephaliophora	17	0	0	0	0	0	0	0	40	0
Pseudochaetosphaeronema	0	0	0	0	0	0	0	0	57	0
Calcarisporiella	4	0	0	7	0	0	44	0	0	0
Ascotricha	0	0	0	54	0	0	0	0	0	0
Cortinarius	54	0	0	0	0	0	0	0	0	0
Sporormiella	22	0	0	0	0	0	0	0	32	0
Idriella	4	0	0	0	0	0	0	14	35	0
Brettanomyces	53	0	0	0	0	0	0	0	0	0
Athelopsis	0	0	0	0	0	0	53	0	0	0
Conlarium	0	0	0	9	0	43	0	0	0	0
Lactarius	8	0	0	0	0	0	0	0	44	0
Buckleyzyma	0	0	0	0	0	0	0	0	0	51
Thanatephorus	6	0	0	0	0	0	45	0	0	0
Glomus	10	0	8	0	0	0	0	0	7	25
Neocamarosporium	0	0	0	0	0	0	0	0	0	50
Parastagonospora	0	50	0	0	0	0	0	0	0	0
Neopestalotiopsis	0	0	0	0	49	0	0	0	0	0
Truncatella	38	0	0	0	0	0	0	0	11	0
Atractium	0	0	48	0	0	0	0	0	0	0
Cistella	0	0	0	0	0	0	0	0	38	9
Zygosporium	0	0	0	0	0	0	0	0	46	0
Yamadazyma	15	0	0	0	0	0	0	0	26	5
Barnettozyma	0	0	0	0	0	0	0	0	46	0
Uwebraunia	45	0	0	0	0	0	0	0	0	0
Xerochrysium	0	45	0	0	0	0	0	0	0	0
Chrysosporium	19	0	0	0	0	0	0	0	24	0
Comoclathris	15	0	0	0	0	0	0	0	28	0
Luellia	0	0	0	0	0	0	0	0	43	0
Inocybe	10	0	0	5	0	0	0	0	27	0
Valsonectria	42	0	0	0	0	0	0	0	0	0
Boletus	42	0	0	0	0	0	0	0	0	0
Daldinia	0	0	0	0	0	0	0	0	0	42
Cephalotrichum	0	0	0	0	0	0	0	0	41	0
Tricholoma	0	0	0	0	0	0	0	0	41	0
Trichoglossum	0	0	0	0	0	0	0	0	23	17
Claroideoglomus	3	0	0	0	0	0	0	18	18	0
Gymnopilus	0	0	0	39	0	0	0	0	0	0
Kriegeria	0	0	0	0	0	0	39	0	0	0
Bacidia	0	0	0	0	0	0	0	0	0	39
Acaulopage	0	0	38	0	0	0	0	0	0	0
Bullera	0	0	0	0	0	0	0	0	38	0
Calceomyces	0	7	0	0	0	0	0	0	31	0
Arnium	0	0	38	0	0	0	0	0	0	0
Metschnikowia	0	0	0	0	0	0	0	0	0	37
Pleiochaeta	0	0	0	0	0	0	0	0	37	0
Chaetomidium	0	0	0	0	0	0	0	0	36	0
Kabatina	7	0	0	0	0	0	0	0	29	0
Atractospora	0	0	0	0	0	0	0	0	35	0
Hydropisphaera	0	0	0	0	0	0	0	0	34	0
Zopfiella	33	0	0	0	0	0	0	0	0	0
Amphinema	32	0	0	0	0	0	0	0	0	0
Triangularia	32	0	0	0	0	0	0	0	0	0
Apiosordaria	32	0	0	0	0	0	0	0	0	0
Pithoascus	32	0	0	0	0	0	0	0	0	0
Microscypha	0	0	0	0	0	0	0	0	31	0
Septoriella	31	0	0	0	0	0	0	0	0	0
Digitodochium	0	0	0	0	0	0	0	0	31	0
Stagonospora	0	0	0	0	0	0	0	0	30	0
Bullanockia	30	0	0	0	0	0	0	0	0	0
Paraphaeosphaeria	30	0	0	0	0	0	0	0	0	0
Byssochlamys	0	0	0	0	0	30	0	0	0	0
Phaeotremella	0	0	0	0	0	0	0	0	0	30
Bulleribasidium	0	0	0	0	29	0	0	0	0	0
Daedaleopsis	0	0	0	0	29	0	0	0	0	0
Xenopolyscytalum	21	0	0	0	0	0	0	0	7	0
Disculoides	28	0	0	0	0	0	0	0	0	0
Gymnostellatospora	0	0	0	0	0	0	0	0	28	0
Rhizophlyctis	8	0	0	0	0	0	0	0	16	3
Stachylidium	27	0	0	0	0	0	0	0	0	0
Selenophoma	0	0	0	0	0	0	0	0	27	0
Melnikomyces	0	0	0	0	0	0	0	0	27	0
