genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Hansfordia	63	0	0	0	0	0	0	0	0	0
Bovista	34	0	0	0	1	0	28	0	0	0
Volutella	0	0	0	0	25	38	0	0	0	0
Hodophilus	0	0	0	0	22	40	0	0	0	0
Lophiostoma	0	0	0	0	0	0	62	0	0	0
Phlyctochytrium	0	0	0	0	0	0	14	0	0	48
Xanthothecium	0	0	0	0	0	0	0	0	0	62
Neopyrenochaeta	0	0	0	0	0	0	0	0	0	61
Aotearoamyces	0	0	0	0	20	40	0	0	0	0
Exobasidium	0	17	0	0	5	7	0	0	0	30
Lycogalopsis	0	0	0	59	0	0	0	0	0	0
Striatibotrys	0	0	0	0	0	0	0	0	59	0
Tuber	0	0	0	0	0	0	0	0	59	0
Hyaloscypha	0	0	0	0	0	0	0	0	0	59
Ascovirgaria	58	0	0	0	0	0	0	0	0	0
Wilcoxina	0	0	0	0	11	47	0	0	0	0
Selenodriella	0	0	0	0	0	0	0	0	58	0
Heterochaete	0	0	0	0	0	0	0	0	0	58
Phanerochaete	0	0	0	0	0	0	0	0	0	58
Irpex	0	0	0	0	0	0	0	0	0	58
Savoryella	0	57	0	0	0	0	0	0	0	0
Saccothecium	0	0	0	0	17	40	0	0	0	0
Terfezia	0	0	0	0	13	44	0	0	0	0
Piromyces	0	0	0	0	0	0	57	0	0	0
Camarosporidiella	0	0	0	0	0	0	0	57	0	0
Auricularia	0	0	0	0	0	0	0	0	0	57
Chaetomella	0	0	0	0	0	0	0	0	0	57
Arxiella	0	0	0	0	29	27	0	0	0	0
Verruconis	0	0	0	0	16	40	0	0	0	0
Didymocrea	0	0	0	0	0	0	0	0	0	56
Bettsia	0	0	0	55	0	0	0	0	0	0
Malbranchea	0	0	0	0	0	0	55	0	0	0
Ganoderma	0	0	0	0	0	0	9	0	0	46
Tricholoma	54	0	0	0	0	0	0	0	0	0
Gymnopus	0	0	0	0	10	0	0	0	0	44
Boubovia	0	0	0	0	0	0	54	0	0	0
Gymnascella	0	0	0	0	0	0	0	0	0	54
Neophaeococcomyces	53	0	0	0	0	0	0	0	0	0
Lobulomyces	0	0	0	53	0	0	0	0	0	0
Oedocephalum	0	0	0	0	0	0	0	0	52	0
Starmerella	0	0	0	0	0	0	0	0	6	46
Pluteus	0	0	0	0	0	0	0	0	51	0
Ampelomyces	0	0	0	0	17	33	0	0	0	0
Leratiomyces	0	0	0	0	17	33	0	0	0	0
Hohenbuehelia	0	0	0	0	9	41	0	0	0	0
Hydnellum	0	0	0	0	0	0	0	0	50	0
Phialocephala	0	0	0	0	0	0	0	0	0	49
Rachicladosporium	0	0	0	48	0	0	0	0	0	0
Brycekendrickomyces	0	0	0	0	11	37	0	0	0	0
Dominikia	0	0	0	0	22	25	0	0	0	0
Dactylaria	0	0	0	0	0	0	0	0	47	0
Sakaguchia	0	0	0	0	0	0	0	21	0	25
Feramyces	0	0	0	0	0	0	0	0	0	46
Waitea	0	0	0	45	0	0	0	0	0	0
Lasiobolidium	0	0	0	0	15	30	0	0	0	0
Arachniotus	0	0	0	0	0	0	45	0	0	0
Ramophialophora	44	0	0	0	0	0	0	0	0	0
Polyscytalum	0	0	0	0	0	0	0	0	44	0
Bifusisporella	0	0	0	0	0	0	0	0	0	44
Dermoloma	0	0	0	0	0	43	0	0	0	0
Chaetospermum	42	0	0	0	0	0	0	0	0	0
Setophaeosphaeria	0	0	0	0	0	0	0	0	0	42
Corneriella	0	41	0	0	0	0	0	0	0	0
Leptodontidium	0	0	0	39	0	0	2	0	0	0
Gastrosporium	40	0	0	0	0	0	0	0	0	0
Ambispora	0	0	0	0	20	20	0	0	0	0
Lasiodiplodia	0	0	0	0	0	0	39	0	0	0
Paecilomyces	0	0	0	0	7	0	28	0	0	0
Morchella	0	0	0	0	0	0	0	0	0	35
Chroogomphus	34	0	0	0	0	0	0	0	0	0
Wojnowiciella	0	0	0	0	8	26	0	0	0	0
Asterostroma	0	0	0	0	0	0	0	0	34	0
Ochroconis	33	0	0	0	0	0	0	0	0	0
Coniolariella	32	0	0	0	0	0	0	0	0	0
Oomyces	0	0	0	0	15	17	0	0	0	0
Ramularia	0	0	0	0	0	32	0	0	0	0
Lactifluus	0	0	0	31	0	0	0	0	0	0
Dematiopleospora	0	0	0	0	0	0	9	0	0	22
Cumuliphoma	0	0	0	0	0	0	0	0	0	30
Roussoella	0	0	0	0	0	0	29	0	0	0
Tilletia	0	0	22	4	0	0	0	0	2	0
Alfaria	0	0	0	0	0	0	28	0	0	0
Arnium	0	0	0	0	14	13	0	0	0	0
Pleotrichocladium	0	0	0	0	0	0	27	0	0	0
Buckleyzyma	0	0	0	0	0	0	27	0	0	0
Musicillium	0	0	0	0	0	0	27	0	0	0
Piniphoma	23	0	0	0	0	0	0	0	0	0
Zeloasperisporium	0	0	23	0	0	0	0	0	0	0
Pseudothielavia	0	0	15	0	8	0	0	0	0	0
Stereum	0	0	0	0	0	0	23	0	0	0
Striaticonidium	0	0	0	0	2	0	16	0	0	4
Dimorphospora	0	0	0	0	0	0	22	0	0	0
Pseudohyphozyma	0	0	0	0	0	0	22	0	0	0
Rhytidhysteron	0	0	0	0	0	0	21	0	0	0
Pleurotus	0	0	0	0	0	0	0	0	0	21
Stagonospora	0	0	0	0	0	0	20	0	0	0
Diploospora	0	0	0	0	0	0	19	0	0	0
Diutina	0	0	0	14	0	0	4	0	0	0
Juncaceicola	0	0	0	0	0	0	18	0	0	0
Stromatinia	0	0	0	0	0	0	0	0	0	18
Lodderomyces	0	0	0	0	0	0	17	0	0	0
Millerozyma	0	0	16	0	0	0	0	0	0	0
Bradymyces	0	0	0	0	0	0	15	0	0	0
Ochronectria	0	0	0	0	0	0	14	0	0	0
Lophium	0	0	0	0	0	0	14	0	0	0
Gammamyces	13	0	0	0	0	0	0	0	0	0
