genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Rhizopus	17	26	0	0	0	0	0	0	28	0
Sporidiobolus	0	0	17	22	0	0	0	32	0	0
Discosia	0	71	0	0	0	0	0	0	0	0
Pseudopithomyces	0	0	26	8	0	0	0	0	36	0
Neopestalotiopsis	0	0	45	0	0	0	0	0	0	25
Debaryomyces	0	34	3	0	0	0	0	0	0	31
Articulospora	0	0	0	0	9	0	0	27	0	30
Sodiomyces	0	0	0	0	66	0	0	0	0	0
Bimuria	40	0	0	0	24	0	0	0	0	0
Neonectria	0	49	10	0	0	0	0	0	0	4
Schizophyllum	0	0	0	0	0	0	35	0	0	28
Calonectria	0	0	29	0	0	0	0	34	0	0
Lipomyces	39	0	21	0	0	0	0	0	0	0
Striaticonidium	0	0	0	0	29	0	0	0	0	28
Mucor	7	26	0	0	0	3	0	10	5	5
Acaulopage	6	0	0	0	0	0	0	0	0	50
Amphinema	47	0	9	0	0	0	0	0	0	0
Aschersonia	0	0	0	10	46	0	0	0	0	0
Elsinoe	0	0	0	0	56	0	0	0	0	0
Zygosporium	0	0	2	8	45	0	0	0	0	0
Serendipita	46	0	0	0	0	0	9	0	0	0
Hodophilus	0	0	0	0	0	0	54	0	0	0
Fuscoporia	0	0	0	0	0	0	0	0	0	54
Oberwinklerozyma	0	0	0	0	0	0	0	0	0	54
Sebacina	0	0	53	0	0	0	0	0	0	0
Psathyrella	23	19	10	0	0	0	0	0	0	0
Wickerhamiella	52	0	0	0	0	0	0	0	0	0
Inocybe	0	0	6	0	0	0	0	0	17	28
Bullera	0	0	31	20	0	0	0	0	0	0
Oomyces	0	0	0	0	51	0	0	0	0	0
Lasionectria	0	51	0	0	0	0	0	0	0	0
Pseudogymnoascus	0	0	21	0	29	0	0	0	0	0
Vermispora	0	0	5	4	0	3	0	15	23	0
Pseudaleuria	0	0	4	0	14	0	0	0	0	32
Leohumicola	0	0	9	0	0	0	16	0	14	10
Truncatella	0	0	6	0	0	0	0	43	0	0
Arachnomyces	0	0	48	0	0	0	0	0	0	0
Pluteus	17	31	0	0	0	0	0	0	0	0
Agrocybe	48	0	0	0	0	0	0	0	0	0
Idriella	0	0	4	13	0	0	0	0	30	0
Xeromyces	0	0	46	0	0	0	0	0	0	0
Arthrographis	0	0	0	35	0	0	10	0	0	0
Ovatospora	0	0	20	0	0	0	0	24	0	0
Thelebolus	0	0	0	0	26	0	0	17	0	0
Tricladium	0	0	0	0	43	0	0	0	0	0
Myriococcum	0	42	0	0	0	0	0	0	0	0
Corynascella	41	0	0	0	0	0	0	0	0	0
Mallocybe	0	40	0	0	0	0	0	0	0	0
Betamyces	0	0	0	0	0	0	0	0	40	0
Erythrobasidium	0	0	8	0	0	0	0	0	31	0
Brunneochlamydosporium	0	0	0	0	39	0	0	0	0	0
Trichomerium	0	0	4	0	0	0	0	23	0	12
Geminibasidium	23	0	0	0	0	16	0	0	0	0
Tricharina	0	0	17	0	0	0	0	0	21	0
Xenopolyscytalum	0	0	0	0	38	0	0	0	0	0
Meristemomyces	0	0	38	0	0	0	0	0	0	0
Conocybe	24	0	0	0	0	0	0	14	0	0
Moesziomyces	26	3	6	0	0	0	0	3	0	0
Lithohypha	0	30	0	0	0	8	0	0	0	0
Neopyrenochaeta	0	0	20	17	0	0	0	0	0	0
