genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
agricultural_soil_bacterium_SC_I_84	0	0	0	32	0	0	0	47	0	57
Neochlamydia	22	2	13	0	17	2	11	13	8	45
Lacibacter	0	0	43	2	22	0	0	23	22	15
Pseudoflavitalea	0	0	7	0	0	2	0	0	0	117
OLB12	0	0	0	0	0	14	0	48	6	57
bacterium_Ellin6527	29	64	0	0	0	0	2	0	29	0
Singulisphaera	0	7	0	3	40	22	0	47	0	2
Pseudarthrobacter	0	16	0	0	0	40	0	63	0	0
Rhodobacter	8	0	0	0	0	20	53	10	0	25
Inquilinus	11	26	4	5	21	17	7	0	17	8
UTBCD1	14	0	0	35	24	7	16	2	6	9
Dokdonella	6	0	6	0	0	40	35	0	11	11
Tabrizicola	10	37	16	0	0	5	12	2	5	17
Ahniella	10	10	14	37	7	9	4	11	2	0
Microcoleus_SAG_1449_1a	0	2	22	7	68	0	0	4	0	0
mle1_7	11	15	16	3	16	2	19	11	6	0
Tumebacillus	9	10	0	0	9	8	38	17	4	4
Methylovirgula	0	37	0	13	30	0	12	7	0	0
Endomicrobium	10	16	16	20	7	14	4	3	2	6
Flavihumibacter	0	0	11	0	4	20	6	4	5	45
Ellin516	12	7	21	13	16	5	5	4	0	11
Parvibaculum	13	6	0	7	6	11	27	10	14	0
Methylibium	56	0	37	0	0	0	0	0	0	0
Ohtaekwangia	0	0	31	4	21	0	0	8	0	28
Leifsonia	26	0	14	3	16	0	14	0	9	4
Ferruginibacter	2	0	3	3	6	0	0	23	3	45
Coxiella	17	7	17	8	6	0	6	19	2	0
Aeromonas	2	0	70	0	5	0	0	0	0	5
Desulfovirga	0	0	0	0	0	0	0	82	0	0
Candidatus_Alysiosphaera	6	14	23	0	0	3	6	0	20	9
FFCH7168	2	8	0	11	37	0	3	1	8	9
Aquabacterium	0	0	0	23	0	0	55	0	0	0
Candidatus_Xiphinematobacter	2	3	16	6	28	8	0	7	2	6
Acidovorax	0	0	78	0	0	0	0	0	0	0
SM1A02	2	1	13	11	5	3	3	25	3	11
Sporocytophaga	13	7	0	0	20	9	0	0	4	23
IS_44	0	0	0	0	0	15	26	2	12	19
Duganella	0	0	19	0	12	0	43	0	0	0
Mitsuaria	39	0	0	0	34	0	0	0	0	0
Oxynema_BDU_92071	4	3	15	8	24	0	0	12	0	7
Chujaibacter	2	20	9	7	7	7	11	8	0	0
Ferrovibrio	9	0	3	2	0	34	0	8	0	14
Pelosinus	2	0	0	0	0	0	10	0	45	11
Tundrisphaera	0	0	7	22	5	18	0	10	5	0
Thermosporothrix	5	0	28	14	0	2	0	12	0	6
KD3_10	6	2	10	4	8	11	0	2	3	17
Methylotenera	0	0	25	0	6	3	4	0	0	24
Kaistia	6	4	0	0	0	19	6	0	11	16
Solimonas	0	0	22	3	21	0	14	0	0	0
Fluviicola	0	0	35	4	5	12	0	2	0	2
Longivirga	2	0	0	14	0	0	15	2	13	13
Desulfitobacterium	0	2	0	30	0	6	0	14	4	2
Aminobacter	23	0	0	0	34	0	0	0	0	0
Inhella	0	0	23	5	11	0	5	0	0	12
Polyangium	0	0	0	3	12	6	15	9	3	8
Legionella	5	9	2	7	3	12	0	2	6	9
Noviherbaspirillum	0	0	0	20	19	0	0	0	16	0
Ideonella	0	0	0	0	0	18	0	37	0	0
Herpetosiphon	0	1	5	3	2	8	0	3	9	23
Pedobacter	5	0	44	0	0	0	0	0	0	4
Cytophaga	0	0	6	11	6	10	15	0	0	4
Candidatus_Ovatusbacter	3	2	0	2	2	12	13	5	2	11
possible_genus_04	0	0	0	6	7	5	2	16	12	4
Chitinimonas	6	0	14	7	18	0	0	5	0	0
BacC_u_018	17	14	0	7	0	2	4	2	0	3
Sandaracinus	2	0	0	0	0	12	12	17	0	5
Terriglobus	2	0	7	0	13	24	0	0	2	0
Turneriella	1	0	3	2	2	7	2	18	5	6
Zoogloea	0	0	4	0	0	0	12	27	3	0
Chthoniobacter	6	0	0	4	0	0	0	16	4	15
Pseudoxanthomonas	13	0	8	0	0	1	4	10	0	9
bacterium_WX65	0	0	44	0	0	0	0	0	0	0
Actinomadura	0	11	12	6	12	0	0	0	0	2
DEV008	2	0	0	0	2	2	0	6	0	31
Kosakonia	16	0	0	0	0	0	26	0	0	0
Cellulomonas	0	0	0	0	0	7	0	35	0	0
Stenotrophomonas	0	0	31	2	0	0	0	4	0	4
Thauera	0	0	34	0	0	0	6	0	0	0
Jatrophihabitans	13	0	0	3	10	0	0	3	6	5
Kitasatospora	0	0	0	0	26	14	0	0	0	0
Hassallia	6	0	8	3	0	4	0	3	9	6
Luteitalea	11	2	0	0	0	7	3	8	8	0
Luteolibacter	3	3	9	8	3	0	4	6	0	3
Delftia	4	0	13	22	0	0	0	0	0	0
Natronomonas	0	10	0	7	0	14	0	0	7	0
Craurococcus_Caldovatus	9	0	3	0	0	9	5	12	0	0
Bordetella	0	0	0	0	0	0	7	0	15	15
Halorubrum	0	29	0	0	0	4	0	0	0	4
