genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Odoribacter	24	27	44	18	54	49	0	110	113	122
Candidatus_Saccharimonas	24	38	17	66	37	38	0	205	0	133
[Eubacterium]_nodatum_group	25	0	48	117	151	72	10	124	8	0
Stenotrophomonas	17	0	89	278	9	73	18	48	21	0
Desulfosporosinus	181	0	0	0	0	57	213	0	100	0
Enterorhabdus	15	43	154	108	0	12	0	188	17	9
Haemophilus	38	0	0	0	507	0	0	0	0	0
Jatrophihabitans	26	21	192	11	132	29	5	0	34	83
NK4A214_group	61	59	100	0	0	22	7	0	60	223
Halomonas	15	0	0	0	257	0	0	258	0	0
Anaeromyxobacter	34	135	86	0	98	26	94	0	46	0
Subdoligranulum	36	0	88	147	217	12	0	0	10	0
Pseudonocardia	38	72	0	253	0	5	48	0	0	85
Chitinophaga	15	61	0	92	0	62	54	0	95	119
Azohydromonas	31	331	0	25	0	42	65	0	0	0
Leifsonia	198	0	86	0	0	0	34	139	31	0
Christensenellaceae_R_7_group	46	0	103	140	0	23	10	23	40	103
Zoogloea	0	0	142	189	76	0	0	0	7	73
Ferruginibacter	12	0	42	42	196	24	59	0	106	0
Petrimonas	0	81	0	0	255	0	0	133	0	0
Bacteriovorax	100	62	36	75	0	63	42	0	49	39
[Polyangium]_brachysporum_group	0	463	0	0	0	0	0	0	0	0
Phaselicystis	9	59	76	0	83	35	42	0	46	112
Xanthomonas	0	0	202	215	0	3	5	0	24	0
Dactylosporangium	85	7	14	0	0	119	61	39	45	69
Pelomonas	17	0	0	359	0	10	42	0	8	0
Achromobacter	7	0	151	0	123	11	0	144	0	0
Actinomadura_scrupuli	281	0	63	0	0	37	0	0	36	17
Flavisolibacter	34	0	102	4	13	115	44	112	0	9
Holdemanella	57	118	0	0	201	0	0	39	8	0
Azospirillum	0	101	74	20	4	86	27	5	84	19
Sulfurifustis	35	54	0	0	0	195	12	0	79	42
Terrisporobacter	0	0	18	0	0	0	14	116	11	258
Bilophila	11	120	73	0	0	42	0	142	21	0
Methylibium	35	0	0	52	136	113	0	64	0	0
ASF356	0	0	52	0	0	15	0	217	3	108
Comamonas	0	0	44	88	99	18	0	129	16	0
[Eubacterium]_brachy_group	0	0	78	165	26	0	0	114	10	0
Roseiarcus	15	0	110	62	0	0	0	0	0	202
Ideonella	0	73	0	0	0	160	0	0	20	131
Candidatus_Ovatusbacter	70	0	0	0	0	41	87	62	116	0
Lachnospira	4	0	0	0	0	0	9	252	95	16
Actinoplanes	16	0	0	58	0	70	105	99	15	8
