genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Spirochaeta_2	3	9	4	12	3	42	12	0	2	3
Jatrophihabitans	23	4	6	0	0	0	7	6	0	43
Ammoniphilus	85	0	0	0	0	0	0	0	0	4
Roseiarcus	21	16	0	18	15	0	9	0	0	9
Lacibacter	0	15	3	0	0	43	13	0	0	14
EcFYyy_200	10	11	10	0	3	19	10	0	16	9
Citrifermentans	0	0	61	0	0	4	4	0	2	15
Piscinibacter	0	0	6	0	41	13	25	0	0	0
Luteitalea	13	0	18	5	5	11	14	19	0	0
Azospira	0	0	0	5	19	34	0	0	0	24
Methylibium	37	0	0	0	0	19	24	0	0	0
Ellin516	17	26	9	8	0	0	11	0	0	8
TM7a	9	0	5	6	9	3	12	0	0	34
Vogesella	0	28	47	1	0	0	0	0	0	0
Thiobacillus	2	0	0	9	0	7	3	0	10	44
Natronomonas	11	6	0	2	14	0	0	26	13	3
Agromyces	2	0	23	0	0	11	16	6	6	10
Nitrosospira	10	10	0	0	0	20	6	7	12	8
Stenotrophobacter	0	0	66	0	0	2	3	0	0	2
Enterobacter	37	25	0	0	0	0	0	0	2	4
Candidatus_Alysiosphaera	4	2	7	4	0	24	0	9	9	8
Tundrisphaera	0	12	0	0	0	20	27	0	8	0
agricultural_soil_bacterium_SC_I_84	0	0	0	0	24	2	38	0	2	0
Ferruginibacter	0	0	12	0	0	20	28	0	6	0
Altererythrobacter	0	0	0	0	23	22	8	12	0	0
Chloronema	12	7	17	0	0	12	8	1	0	6
Roseisolibacter	4	12	20	0	0	23	3	0	0	0
Scytonema_PCC_7110	0	0	62	0	0	0	0	0	0	0
possible_genus_04	8	11	0	0	5	17	8	0	5	7
AKYG587	8	0	17	4	0	0	22	0	7	0
Amphiplicatus	0	30	13	0	0	7	0	0	8	0
Rahnella1	26	0	0	0	7	14	0	5	0	0
Sporocytophaga	16	9	2	7	0	0	10	2	2	2
Clostridium_sensu_stricto_12	29	0	5	0	11	0	0	0	0	3
Labrys	6	0	0	0	18	0	9	0	8	7
Actinophytocola	19	15	0	0	0	0	0	0	0	14
